Event,Date,Location,Latitude,Longitude,sample_top,sample_bottom,Comment,absolute_salinity(g/kg),Salinity (psu),Cond(microS/cm),Temperature,sample_id,
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.8,0.77,AC,0.1,,,18.1,dO18_0079,not taken as dO18 sample
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.6,0.57,S10,0.1,,,18.1,dO18_0080,not taken as dO18 sample
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.87,0.84,S12,0.1,,,17.7,dO18_0357,
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.7,0.67,S9,0.1,,,17.8,dO18_0358,
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.5,0.47,AA,0,,,18,dO18_0359,
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.3,0.27,S16,0,,,17.5,dO18_0360,
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.1,0.07,RR,0,,,17.8,dO18_0361,
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0,0.03,M,0,,,17.9,dO18_0362,
PS122/3_29-28,26/02/2020,snow1-A3,88.507153,41.149214,0.25,0.22,S7,0.1,,,17,dO18_0369,
PS122/3_29-28,26/02/2020,snow1-A3,88.507153,41.149214,0.2,0.17,S8,0.1,,,16.6,dO18_0370,duplicate d18O samples
PS122/3_29-28,26/02/2020,snow1-A3,88.507153,41.149214,0.17,0.14,S18,0.2,,,16.4,dO18_0370,duplicate d18O samples
PS122/3_29-28,26/02/2020,snow1-A3,88.507153,41.149214,0.14,0.11,S1,0.1,,,16.9,dO18_0371,
PS122/3_29-28,26/02/2020,snow1-A3,88.507153,41.149214,0.11,0.08,AA,0.1,,,16.8,dO18_0372,
PS122/3_29-28,26/02/2020,snow1-A3,88.507153,41.149214,0.08,0.05,S14,1.8,,,16.4,dO18_0373,
PS122/3_29-28,26/02/2020,snow1-A3,88.507153,41.149214,0.04,0.01,B,12,,,16.9,dO18_0374,
PS122/3_29-28,26/02/2020,snow1-A3,88.507153,41.149214,0.02,0,S9,13,,,16.6,dO18_0375,
PS122/3_29-43,27/02/2020,RS3,88.41405,36.848866,0.1,0.07,BAB,0.1,,,15.3,dO18_0363,
PS122/3_29-43,27/02/2020,RS3,88.41405,36.848866,0.07,0.04,ION120,0,,,15.8,dO18_0364,
